Time;Gígja_800: W1_med_cm[cm];Gígja_800: W1_med_cm_Max[cm];Gígja_800: W1_med_cm_Min[cm]
2022-05-27 00:00:00;-47,97;-47,78;-47,97
2022-05-27 00:03:00;-48,01;-47,86;-48,02
2022-05-27 00:06:00;-47,76;-47,76;-48,08
2022-05-27 00:09:00;-47,91;-47,73;-47,98
2022-05-27 00:12:00;-47,88;-47,88;-47,99
2022-05-27 00:15:00;-47,98;-47,69;-48,05
2022-05-27 00:18:00;-47,83;-47,7;-47,98
2022-05-27 00:21:00;-47,94;-47,85;-47,98
2022-05-27 00:24:00;-47,84;-47,73;-47,95
2022-05-27 00:27:00;-47,75;-47,75;-47,97
2022-05-27 00:30:00;-48,08;-47,62;-48,08
2022-05-27 00:33:00;-47,82;-47,62;-48,15
2022-05-27 00:36:00;-47,72;-47,7;-48,02
2022-05-27 00:39:00;-47,87;-47,65;-47,97
2022-05-27 00:42:00;-48;-47,74;-48,02
2022-05-27 00:45:00;-47,83;-47,82;-47,98
2022-05-27 00:48:00;-47,73;-47,59;-47,9
2022-05-27 00:51:00;-47,77;-47,69;-47,87
2022-05-27 00:54:00;-47,78;-47,78;-48,03
2022-05-27 01:00:00;-47,9;-47,75;-48
2022-05-27 01:03:00;-47,92;-47,75;-47,94
2022-05-27 01:06:00;-48,1;-47,81;-48,1
2022-05-27 01:09:00;-47,89;-47,89;-48,11
2022-05-27 01:12:00;-47,96;-47,76;-48,05
2022-05-27 01:15:00;-47,88;-47,73;-47,93
2022-05-27 01:18:00;-47,69;-47,69;-47,98
2022-05-27 01:21:00;-47,69;-47,67;-47,86
2022-05-27 01:24:00;-47,93;-47,69;-48,08
2022-05-27 01:27:00;-47,88;-47,85;-47,99
2022-05-27 01:30:00;-47,91;-47,71;-47,98
2022-05-27 01:33:00;-47,81;-47,8;-48,03
2022-05-27 01:36:00;-47,76;-47,76;-47,98
2022-05-27 01:39:00;-47,82;-47,76;-48,03
2022-05-27 01:42:00;-47,77;-47,67;-47,92
2022-05-27 01:45:00;-47,86;-47,66;-47,86
