"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 00:00","2022","05","01","00:00","-17.8","","-19.8","","85","","","M","8","","15","","","M","102.91","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 01:00","2022","05","01","01:00","-17.6","","-19.6","","85","","","M","9","","16","","","M","102.90","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 02:00","2022","05","01","02:00","-18.2","","-20.2","","84","","","M","8","","16","","","M","102.87","","","","-27","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 03:00","2022","05","01","03:00","-18.3","","-20.2","","85","","","M","8","","14","","","M","102.85","","","","-27","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 04:00","2022","05","01","04:00","-18.7","","-20.6","","85","","","M","9","","19","","","M","102.83","","","","-29","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 05:00","2022","05","01","05:00","-17.8","","-19.7","","86","","","M","9","","20","","","M","102.82","","","","-28","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 06:00","2022","05","01","06:00","-16.6","","-18.5","","86","","","M","10","","16","","","M","102.80","","","","-25","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 07:00","2022","05","01","07:00","-15.8","","-17.8","","85","","","M","10","","16","","","M","102.77","","","","-24","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 08:00","2022","05","01","08:00","-14.8","","-16.9","","85","","","M","10","","21","","","M","102.76","","","","-24","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 09:00","2022","05","01","09:00","-13.9","","-16.2","","83","","","M","9","","18","","","M","102.73","","","","-22","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 10:00","2022","05","01","10:00","-12.7","","-15.3","","81","","","M","10","","18","","","M","102.71","","","","-21","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 11:00","2022","05","01","11:00","-11.8","","-14.4","","81","","","M","11","","21","","","M","102.68","","","","-20","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 12:00","2022","05","01","12:00","-10.9","","-13.6","","81","","","M","10","","21","","","M","102.67","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 13:00","2022","05","01","13:00","-10.4","","-13.1","","81","","","M","11","","22","","","M","102.65","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 14:00","2022","05","01","14:00","-10.1","","-12.6","","82","","","M","12","","25","","","M","102.63","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 15:00","2022","05","01","15:00","-10.2","","-12.7","","82","","","M","12","","23","","","M","102.61","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 16:00","2022","05","01","16:00","-10.4","","-12.7","","83","","","M","12","","26","","","M","102.59","","","","-19","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 17:00","2022","05","01","17:00","-10.8","","-13.0","","84","","","M","12","","28","","","M","102.55","","","","-20","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 18:00","2022","05","01","18:00","-11.5","","-13.5","","85","","","M","12","","23","","","M","102.54","","","","-20","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 19:00","2022","05","01","19:00","-12.4","","-14.3","","86","","","M","12","","21","","","M","102.55","","","","-21","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 20:00","2022","05","01","20:00","-13.3","","-14.9","","87","","","M","10","","16","","","M","102.54","","","","-21","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 21:00","2022","05","01","21:00","-14.0","","-15.6","","88","","","M","12","","21","","","M","102.51","","","","-23","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 22:00","2022","05","01","22:00","-14.9","","-16.6","","87","","","M","11","","16","","","M","102.47","","","","-23","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-01 23:00","2022","05","01","23:00","-15.2","","-17.0","","87","","","M","11","","19","","","M","102.47","","","","-24","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 00:00","2022","05","02","00:00","-15.7","","-17.4","","87","","","M","7","","12","","","M","102.47","","","","-23","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 01:00","2022","05","02","01:00","-16.5","","-18.3","","86","","","M","8","","18","","","M","102.47","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 02:00","2022","05","02","02:00","-16.4","","-18.3","","86","","","M","9","","20","","","M","102.46","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 03:00","2022","05","02","03:00","-16.6","","-18.5","","86","","","M","10","","22","","","M","102.46","","","","-27","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 04:00","2022","05","02","04:00","-16.8","","-18.6","","85","","","M","9","","20","","","M","102.42","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 05:00","2022","05","02","05:00","-16.8","","-18.8","","85","","","M","10","","18","","","M","102.44","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 06:00","2022","05","02","06:00","-16.2","","-18.3","","84","","","M","10","","21","","","M","102.41","","","","-26","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 07:00","2022","05","02","07:00","-15.5","","-17.8","","83","","","M","11","","19","","","M","102.42","","","","-25","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 08:00","2022","05","02","08:00","-13.6","","-16.1","","82","","","M","12","","18","","","M","102.39","","","","-22","","NA"
"-105.14","69.11","CAMBRIDGE BAY A","2400603","2022-05-02 09:00","2022","05","02","09:00","-12.6","","-15.3","","81","","","M","10","","16","","","M","102.38","","","","-20","","NA"
